new_id,legacy_id,title,category,subtype,status,notes,path
B-25,,Azure,service,hosting_cloud,ready,,content/entries/service/B-25_azure[済].md
B-26,,Azure OpenAI,service,managed_ai,ready,,content/entries/service/B-26_azure_openai[済].md
B-27,,Vertex AI,service,managed_ai,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-27_vertex_ai[済].md
B-28,,Render,service,hosting_cloud,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-28_render[済].md
B-29,,Supabase,service,baas,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-29_supabase[済].md
B-30,,Amazon Bedrock,service,managed_ai,ready,,content/entries/service/B-30_amazon_bedrock[済].md
B-31,,Excalidraw,service,saas_design,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-31_excalidraw[済].md
B-32,,Figma,service,saas_design,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-32_figma[済].md
B-33,,Canva,service,saas_design,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-33_canva[済].md
B-34,,NotebookLM,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-34_notebooklm[済].md
B-35,,Gemini CLI,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-35_gemini_cli[済].md
B-36,,Lovable,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-36_lovable[済].md
B-37,,Replit,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-37_replit[済].md
B-38,,Manus,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-38_manus[済].md
B-39,,Google AI Studio,service,ai_assistant,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-39_google_ai_studio[済].md
B-40,,Reddit,service,info_source,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-40_reddit[済].md
B-41,,arXiv,service,info_source,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-41_arxiv[済].md
B-42,,Discord,service,info_source,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-42_discord[済].md
B-43,,n8n・Dify,service,automation,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/service/B-43_n8n_dify[済].md
B-50,,Claude の料金プラン,service,pricing,ready,時変情報 evaluation_date:2026-04-29,content/entries/service/B-50_claude_pricing[済].md
B-51,,ChatGPT の料金プラン,service,pricing,ready,時変情報 evaluation_date:2026-04-29,content/entries/service/B-51_chatgpt_pricing[済].md
B-52,,Gemini の料金プラン,service,pricing,ready,時変情報 evaluation_date:2026-04-29,content/entries/service/B-52_gemini_pricing[済].md
B-60,,Suno,service,creative_media,ready,音楽生成 v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-60_suno[済].md
B-61,,ACE-Step 1.5,service,creative_media,ready,音楽生成 v2テンプレ書き起こし済（2026-04-30）,content/entries/service/B-61_ace_step_1_5[済].md
C-1,,OpenAI,person_org,company,ready,,content/entries/person/C-1_openai[済].md
C-2,,Anthropic,person_org,company,ready,,content/entries/person/C-2_anthropic[済].md
C-3,,Google DeepMind,person_org,company,ready,,content/entries/person/C-3_google_deepmind[済].md
C-4,,Meta AI,person_org,company,ready,,content/entries/person/C-4_meta_ai[済].md
C-5,,xAI,person_org,company,ready,,content/entries/person/C-5_xai[済].md
C-6,,Mistral AI,person_org,company,ready,,content/entries/person/C-6_mistral_ai[済].md
C-7,,Hugging Face,person_org,company,ready,,content/entries/person/C-7_hugging_face[済].md
C-8,,Microsoft AI,person_org,company,ready,,content/entries/person/C-8_microsoft_ai[済].md
C-9,,NVIDIA,person_org,company,ready,,content/entries/person/C-9_nvidia[済].md
C-10,,Moonshot AI,person_org,company,ready,,content/entries/person/C-10_moonshot_ai[済].md
C-11,,Z.ai,person_org,company,ready,旧Zhipu AI→Z.ai リブランド 2025年,content/entries/person/C-11_z_ai[済].md
C-12,,TSMC,person_org,company,ready,半導体ファウンドリ v2テンプレ書き起こし済（2026-04-30）,content/entries/person/C-12_tsmc[済].md
C-13,,Groq,person_org,company,ready,AI推論チップ LPU v2テンプレ書き起こし済（2026-04-30）,content/entries/person/C-13_groq[済].md
C-14,,AMD,person_org,company,ready,半導体,content/entries/person/C-14_amd[済].md
C-15,,Intel,person_org,company,ready,半導体IDM。EUV採用遅れ→18A復活途上,content/entries/person/C-15_intel[済].md
C-16,,DeepSeek,person_org,company,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/person/C-16_deepseek[済].md
C-17,,Sakana AI,person_org,company,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/person/C-17_sakana_ai[済].md
C-50,,Sam Altman,person_org,person,ready,,content/entries/person/C-50_sam_altman[済].md
C-51,,Dario Amodei,person_org,person,ready,,content/entries/person/C-51_dario_amodei[済].md
C-52,,Demis Hassabis,person_org,person,ready,,content/entries/person/C-52_demis_hassabis[済].md
C-53,,Andrej Karpathy,person_org,person,ready,,content/entries/person/C-53_andrej_karpathy[済].md
C-54,,Ilya Sutskever,person,person,ready,,content/entries/person/C-54_ilya_sutskever[済].md
C-55,,Mira Murati,person_org,person,ready,,content/entries/person/C-55_mira_murati[済].md
C-56,,Yann LeCun,person_org,person,ready,,content/entries/person/C-56_yann_lecun[済].md
C-57,,Geoffrey Hinton,person_org,person,ready,,content/entries/person/C-57_geoffrey_hinton[済].md
C-58,,Elon Musk,person_org,person,ready,,content/entries/person/C-58_elon_musk[済].md
C-59,,Jensen Huang,person_org,person,ready,,content/entries/person/C-59_jensen_huang[済].md
C-60,,Ray Kurzweil,person_org,person,ready,,content/entries/person/C-60_ray_kurzweil[済].md
C-80,,AI大学,person_org,youtuber,ready,,content/entries/person/C-80_ai_daigaku[済].md
C-81,,にゃんた,person_org,youtuber,ready,v2テンプレ書き起こし済（2026-04-30）。旧スケルトン C-81.md は archived,content/entries/person/C-81_nyanta[済].md
C-82,,まさお,person_org,youtuber,ready,,content/entries/person/C-82_masao[済].md
C-83,,AI時代の羅針盤,person_org,youtuber,ready,台帳の「AI の羅針盤」から正式名称に修正（2026-08-23）,content/entries/person/C-83_ai_compass[済].md
D-1,,Gemini 2 系,model,google,ready,v2テンプレで D-1_gemini2.md に書き起こし済（2026-04-29）。旧D-1.md は archived,content/entries/model/D-1_gemini2[済].md
D-2,201,Gemini 2.5 系,model,google,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-2_gemini25[済].md
D-3,,Gemini 3 系,model,google,ready,台帳登録済み・未生成だった分を本書き（2026-08-23、D 系モデル系統）,content/entries/model/D-3_gemini3[済].md
D-4,,Gemini 3.1 系,model,google,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-4_gemini_3_1[済].md
D-10,,Claude 3 系,model,anthropic,needs_review,台帳登録済み・未生成だった分を本書き（2026-08-23、D 系モデル系統）,content/entries/model/D-10_claude3[人書].md
D-11,,Claude 3.5 系,model,anthropic,ready,,content/entries/model/D-11_claude35[済].md
D-12,,Claude 4 系,model,anthropic,ready,,content/entries/model/D-12_claude4[済].md
D-13,,Claude 4.5 系,model,anthropic,needs_review,台帳登録済み・未生成だった分を本書き（2026-08-23、D 系モデル系統）,content/entries/model/D-13_claude45[人書].md
D-14,,Claude Mythos Preview,model,frontier_model,ready,v2テンプレ書き起こし済（2026-04-30）。旧スケルトン D-14.md は archived,content/entries/model/D-14_claude_mythos_preview[済].md
D-20,,GPT-5 系,model,openai,ready,本書き済み（2026-04-29）。旧スケルトン D-20.md は archived,content/entries/model/D-20_gpt5[済].md
D-21,,GPT-4 系,model,openai,ready,本書き済み（2026-04-29）。旧スケルトン D-21.md は archived,content/entries/model/D-21_gpt4[済].md
D-22,,o1 系,model,openai,ready,本書き済み（2026-04-29）。旧スケルトン D-22.md は archived,content/entries/model/D-22_o1[済].md
D-23,,o3 系,model,openai,needs_review,台帳登録済み・未生成だった分を本書き（2026-08-23、D 系モデル系統）,content/entries/model/D-23_o3[人書].md
D-24,,GPT-3 系,model,openai,ready,,content/entries/model/D-24_gpt3[済].md
D-25,,GPT-1 / GPT-2 系,model,openai,ready,v2テンプレ書き起こし済（2026-04-30）スケルトン D-25.md は archived,content/entries/model/D-25_gpt1_gpt2[済].md
D-26,,gpt-oss,model,openai,ready,OpenAI初の公式オープンウェイトモデル 2025-08,content/entries/model/D-26_gpt_oss[済].md
D-30,,Grok 系,model,xai,ready,,content/entries/model/D-30_grok[済].md
D-35,,Cursor Composer,model,other_closed,ready,title を Cursor Composer に更新（2026-04-30）,content/entries/model/D-35_cursor_composer[済].md
D-40,,Llama 系,model,open,ready,,content/entries/model/D-40_llama[済].md
D-41,,Mistral 系,model,open,ready,,content/entries/model/D-41_mistral[済].md
D-42,,Gemma 系,model,open,ready,,content/entries/model/D-42_gemma[済].md
D-43,,Qwen 系,model,open,ready,,content/entries/model/D-43_qwen[済].md
D-44,,Kimi,model,open,ready,,content/entries/model/D-44_kimi[済].md
D-45,,GLM,model,open_weight_llm,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-45_glm[済].md
D-46,,DeepSeek V3,model,open,ready,,content/entries/model/D-46_deepseek_v3[済].md
D-47,,DeepSeek R1,model,open,ready,推論特化,content/entries/model/D-47_deepseek_r1[済].md
D-50,,DALL-E,model,image_video,ready,,content/entries/model/D-50_dall_e[済].md
D-51,,Imagen,model,image_video,ready,,content/entries/model/D-51_imagen[済].md
D-52,,Sora,model,image_video,ready,,content/entries/model/D-52_sora[済].md
D-53,,Veo,model,video_generation,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-53_veo[済].md
D-54,,Stable Diffusion,model,image_video,ready,,content/entries/model/D-54_stable_diffusion[済].md
D-55,,Nano Banana,model,image_video,ready,,content/entries/model/D-55_nano_banana[済].md
D-56,,Seedance,model,video_generation,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-56_seedance[済].md
D-57,,Flow,model,image_video,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/model/D-57_flow[済].md
D-58,,Whisk,model,image_video,ready,,content/entries/model/D-58_whisk[済].md
D-59,,Midjourney,model,image_video,needs_review,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/model/D-59_midjourney[人書].md
D-60,,AlphaGo,model,historical,ready,,content/entries/model/D-60_alphago[済].md
D-61,,AlphaFold,model,historical,needs_review,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/model/D-61_alphafold[人書].md
D-70,,Amical,model,ai_solution,ready,情報限定的。公式確認が必要（2026-04-30）,content/entries/model/D-70_amical[済].md
D-71,,Whisper,model,voice_audio,ready,OpenAI のオープン音声認識モデル,content/entries/model/D-71_whisper[済].md
E-1,,SWE-Bench,benchmark,coding,ready,,content/entries/benchmark/E-1_swe_bench[済].md
E-2,,SWE-Bench Verified,benchmark,coding,ready,,content/entries/benchmark/E-2_swe_bench_verified[済].md
E-3,,Terminal-Bench,benchmark,coding,ready,,content/entries/benchmark/E-3_terminal_bench[済].md
E-4,,HumanEval,benchmark,coding,ready,,content/entries/benchmark/E-4_humaneval[済].md
E-20,,MMLU,benchmark,reasoning,ready,,content/entries/benchmark/E-20_mmlu[済].md
E-21,,MMLU-Pro,benchmark,reasoning,ready,,content/entries/benchmark/E-21_mmlu_pro[済].md
E-22,,GPQA,benchmark,reasoning,ready,,content/entries/benchmark/E-22_gpqa[済].md
E-23,,GSM8K,benchmark,reasoning,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-23_gsm8k[済].md
E-24,,MATH,benchmark,reasoning,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-24_math[済].md
E-25,,AIME,benchmark,reasoning,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-25_aime[済].md
E-26,,Humanity's Last Exam,benchmark,reasoning,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-26_humanity_s_last_exam[済].md
E-27,,IQ Bench,benchmark,reasoning,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-27_iq_bench[済].md
E-28,,ARC-AGI,benchmark,reasoning,needs_review,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/benchmark/E-28_arc_agi[人書].md
E-30,,TAU-Bench,benchmark,agent,ready,,content/entries/benchmark/E-30_tau_bench[済].md
E-31,,WebArena,benchmark,agent,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-31_webarena[済].md
E-32,,GAIA,benchmark,agent,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-32_gaia[済].md
E-33,,AgentBench,benchmark,agent_benchmark,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-33_agentbench[済].md
E-34,,OSWorld,benchmark,agent,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-34_osworld[済].md
E-50,,Chatbot Arena,benchmark,general,ready,,content/entries/benchmark/E-50_chatbot_arena[済].md
E-51,,LMSYS Arena,benchmark,general,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/benchmark/E-51_lmsys_arena[済].md
F-1,301,JavaScript,term_tool,language,ready,旧3桁ID連携→F-1に取り込み済み,content/entries/term_tool/F-1_javascript[済].md
F-2,302,TypeScript,term_tool,language,ready,旧3桁ID連携 / v2テンプレ書き起こし済（2026-04-29）,content/entries/term_tool/F-2_typescript[済].md
F-3,,Python,term_tool,language,ready,,content/entries/term_tool/F-3_python[済].md
F-4,,HTML,term_tool,language,ready,,content/entries/term_tool/F-4_html[済].md
F-5,,CSS,term_tool,language,ready,,content/entries/term_tool/F-5_css[済].md
F-6,,Markdown,term_tool,language,ready,,content/entries/term_tool/F-6_markdown[済].md
F-7,,YAML,term_tool,language,ready,,content/entries/term_tool/F-7_yaml[済].md
F-8,,JSON,term_tool,language,ready,,content/entries/term_tool/F-8_json[済].md
F-9,,SVG,term_tool,language,ready,,content/entries/term_tool/F-9_svg[済].md
F-10,304,React,term_tool,framework,ready,旧3桁ID 304 の素材を取り込み新テンプレ書き起こし済（2026-04-29）,content/entries/term_tool/F-10_react[済].md
F-11,305,Next.js,term_tool,framework,ready,旧3桁ID 305 の素材を取り込み新テンプレ書き起こし済（2026-04-29）,content/entries/term_tool/F-11_next_js[済].md
F-12,,Electron,term_tool,framework,ready,,content/entries/term_tool/F-12_electron[済].md
F-13,,Tauri,term_tool,framework,ready,,content/entries/term_tool/F-13_tauri[済].md
F-14,,three.js,term_tool,framework,ready,3Dライブラリ,content/entries/term_tool/F-14_three_js[済].md
F-15,,shadcn/ui,term_tool,framework,ready,コピペ配布型 React コンポーネント集,content/entries/term_tool/F-15_shadcn_ui[済].md
F-16,,Tailwind CSS,term_tool,framework,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-16_tailwind_css[済].md
F-17,,Astro,term_tool,framework,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-17_astro[済].md
F-18,,フレームワーク／ライブラリ,term_tool,framework,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-18_framework_library[済].md
F-20,303,ESLint,term_tool,linter,ready,旧3桁ID連携・v2テンプレで書き直し済（2026-04-29）,content/entries/term_tool/F-20_eslint[済].md
F-21,,Prettier,term_tool,formatter,ready,,content/entries/term_tool/F-21_prettier[済].md
F-30,,VS Code,term_tool,editor,ready,,content/entries/term_tool/F-30_vs_code[済].md
F-34,,VS Code 拡張機能,term_tool,editor_ext,needs_review,v2テンプレ本書き済（2026-08-23、F-30 と拡張別スコープ分担）,content/entries/term_tool/F-34_vscode_extensions[人書].md
F-35,,Markdown Preview Enhanced,term_tool,editor_ext,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-35_markdown_preview_enhanced[済].md
F-36,,Git Graph,term_tool,editor_ext,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-36_git_graph[済].md
F-37,,Japanese Language Pack for VS Code,term_tool,editor_ext,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-37_japanese_language_pack_for_vs_code[済].md
F-38,,Markdown All in One,term_tool,editor_ext,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-38_markdown_all_in_one[済].md
F-40,,npm,term_tool,cli_build,ready,,content/entries/term_tool/F-40_npm[済].md
F-41,,Vite,term_tool,cli_build,ready,,content/entries/term_tool/F-41_vite[済].md
F-42,,ビルド,term_tool,cli_build,ready,v2テンプレ本書き済（2026-04-30）,content/entries/term_tool/F-42_build[済].md
F-43,,テスト,term_tool,cli_build,ready,v2テンプレ本書き済（2026-04-30）。archived 凍結を解除し復活（2026-08-10、収録語の抜け監査 §4）,content/entries/term_tool/F-43_test[済].md
F-44,,pnpm,term_tool,cli_build,ready,,content/entries/term_tool/F-44_pnpm[済].md
F-45,,デプロイ,term_tool,cli_build,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-45_deploy[済].md
F-46,,デバッグ,term_tool,cli_build,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-46_debug[済].md
F-47,,フロントエンド／バックエンド,term_tool,architecture,needs_review,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-47_frontend_backend[人書].md
F-50,,git,term_tool,git,ready,,content/entries/term/F-50_git[済].md
F-51,,git push,term_tool,git,ready,,content/entries/term_tool/F-51_git_push[済].md
F-52,,git pull,term_tool,git,ready,,content/entries/term_tool/F-52_git_pull[済].md
F-53,,branch,term_tool,git,ready,,content/entries/term_tool/F-53_branch[済].md
F-54,,commit,term_tool,git,ready,,content/entries/term_tool/F-54_commit[済].md
F-55,,merge,term_tool,git,ready,,content/entries/term_tool/F-55_merge[済].md
F-56,,.gitignore,term_tool,git,ready,,content/entries/term_tool/F-56_gitignore[済].md
F-57,,リポジトリ,term_tool,git,needs_review,Stage 7 本書き完了（2026-08-23）,content/entries/term_tool/F-57_repository[人書].md
F-58,,git stash,term_tool,git,ready,,content/entries/term_tool/F-58_git_stash[済].md
F-59,,README.md,term_tool,git,ready,,content/entries/term_tool/F-59_readme_md[済].md
F-60,,GitHub,term_tool,github,ready,,content/entries/term_tool/F-60_github[済].md
F-61,,Pull Request,term_tool,github,ready,,content/entries/term_tool/F-61_pull_request[済].md
F-62,,GitHub Actions,term_tool,github,ready,CI/CD,content/entries/term_tool/F-62_github_actions[済].md
F-71,,ripgrep (rg),term_tool,search,ready,,content/entries/term_tool/F-71_ripgrep[済].md
F-80,,Node.js,term_tool,runtime,ready,,content/entries/term_tool/F-80_node_js[済].md
F-81,,bash,term_tool,shell,ready,,content/entries/term_tool/F-81_bash[済].md
F-82,,WSL,term_tool,shell,ready,,content/entries/term_tool/F-82_wsl[済].md
F-83,,PowerShell,term_tool,shell,ready,,content/entries/term_tool/F-83_powershell[済].md
F-84,,Ghostty,term_tool,terminal,ready,,content/entries/term_tool/F-84_ghostty[済].md
F-85,,SuperClaude Framework,term_tool,framework,ready,Claude Code 拡張 OSS（Anthropic 非公式）v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-85_superclaude_framework[済].md
F-86,,ollama,term_tool,runtime,ready,ローカルLLM,content/entries/term_tool/F-86_ollama[済].md
F-87,,sudo,term_tool,shell,ready,Substitute User do の略。2026-04-30 entry-writer で本書き,content/entries/term_tool/F-87_sudo[済].md
F-90,,Docker,term_tool,container,ready,,content/entries/term_tool/F-90_docker[済].md
F-91,,.env,term_tool,env,ready,,content/entries/term_tool/F-91_env[済].md
F-100,,拡張子早見表,term_tool,file_format,ready,,content/entries/term_tool/F-100_file_extensions_guide[済].md
F-101,,.ico,term_tool,file_format,ready,,content/entries/term_tool/F-101_ico[済].md
F-102,,.mp4,term_tool,file_format,ready,,content/entries/term_tool/F-102_mp4[済].md
F-103,,.mp3,term_tool,file_format,ready,,content/entries/term_tool/F-103_mp3[済].md
F-104,,.webp,term_tool,file_format,ready,,content/entries/term_tool/F-104_webp[済].md
F-110,,Lighthouse,term_tool,quality,ready,,content/entries/term_tool/F-110_lighthouse[済].md
F-111,,a11y,term_tool,quality,ready,,content/entries/term_tool/F-111_a11y[済].md
F-120,,PostgreSQL,term_tool,database,ready,,content/entries/term_tool/F-120_postgresql[済].md
F-121,,SQLite,term_tool,database,ready,,content/entries/term_tool/F-121_sqlite[済].md
F-122,,Prisma,term_tool,orm,ready,,content/entries/term_tool/F-122_prisma[済].md
F-123,,ORM,term_tool,orm,ready,,content/entries/term_tool/F-123_orm[済].md
F-130,,OAuth,term_tool,auth,ready,,content/entries/term_tool/F-130_oauth[済].md
F-140,,Mermaid,term_tool,diagram,ready,,content/entries/term_tool/F-140_mermaid[済].md
F-141,,PlantUML,term_tool,diagram,ready,,content/entries/term_tool/F-141_plantuml[済].md
F-150,,MIT ライセンス,term_tool,license,needs_review,,content/entries/term_tool/F-150_mit_license[人書].md
F-151,,Apache 2.0,term_tool,license,ready,,content/entries/term_tool/F-151_apache_2_0[済].md
F-152,,GPL,term_tool,license,ready,,content/entries/term_tool/F-152_gpl[済].md
F-153,,Creative Commons,term_tool,license,ready,title を Creative Commons に修正（括弧除去）,content/entries/term_tool/F-153_creative_commons[済].md
F-154,,OSS,term_tool,license,ready,,content/entries/term_tool/F-154_oss[済].md
F-160,,DOM,term_tool,web_foundation,ready,,content/entries/term_tool/F-160_dom[済].md
F-161,,SSR,term_tool,web_foundation,ready,,content/entries/term_tool/F-161_ssr[済].md
F-162,,SSG,term_tool,web_foundation,ready,,content/entries/term_tool/F-162_ssg[済].md
F-170,,EC2,term_tool,cloud_service,ready,,content/entries/term_tool/F-170_ec2[済].md
F-171,,S3,term_tool,cloud_service,ready,,content/entries/term_tool/F-171_s3[済].md
F-172,,IAM,term_tool,cloud_service,ready,,content/entries/term_tool/F-172_iam[済].md
F-180,,OpenGL,term_tool,graphics,ready,,content/entries/term_tool/F-180_opengl[済].md
F-181,,WebGL,term_tool,graphics_api,ready,v2テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-181_webgl[済].md
F-190,,サブルーチン,term_tool,programming_basic,ready,古典的概念 / v2本書き済み 2026-04-30,content/entries/term_tool/F-190_subroutine[済].md
F-200,,Rust,term_tool,language,ready,F-1〜9 言語サブが満杯のため新サブ「追加言語」F-200〜209 を新設（2026-04-29）。v2 テンプレ書き起こし済（2026-04-30）,content/entries/term_tool/F-200_rust[済].md
F-210,,JSON Schema,term_tool,schema,ready,台帳登録済み・未生成だった分を本書き（2026-08-10）,content/entries/term_tool/F-210_json_schema[済].md
F-211,,Zod,term_tool,schema_validation,ready,台帳登録済み・未生成だった分を本書き（2026-08-10）,content/entries/term_tool/F-211_zod[済].md
F-212,,OpenAPI,term_tool,api_contract,ready,台帳登録済み・未生成だった分を本書き（2026-08-10）,content/entries/term_tool/F-212_openapi[済].md
F-213,,API,term_tool,api_contract,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-213_api[済].md
F-214,,API キー,term_tool,api_contract,ready,収録語の抜け監査（提案書 §4）で追加、v2 テンプレ本書き済（2026-08-10）,content/entries/term_tool/F-214_api_key[済].md
G-1,,Context (コンテキスト),term_llm,basic,ready,,content/entries/term/G-1_context[済].md
G-2,,Token,term_llm,basic,ready,,content/entries/term_llm/G-2_token[済].md
G-3,,Dictation,term_llm,basic,ready,,content/entries/term_llm/G-3_dictation[済].md
